小区名称,小区低密度租金,小区多层租金,小区高层租金,地址,行政区,街道,地理坐标
茶宫茗香苑,0.00000000000,0.00000000000,94.00000000000,福田区景田路82号,福田区,莲花街道,"0106000020C31100000100000001030000000100000006000000605DDC0657C01E41A01A2F2D2C0A4341303333F374C11E41AC3E57D3420A434170E09C1118C21E418004C527200A4341204A7B430BC11E41B0506B3A0B0A4341B01C5A24F8C01E41F8E461490F0A4341605DDC0657C01E41A01A2F2D2C0A4341"
华隆园,0.00000000000,0.00000000000,94.00000000000,罗湖区翠园街38号,罗湖区,东门街道,"0106000020C31100000100000001030000000100000008000000C0E314DDE6481F41E00B93593809434150158C8A04491F4144FAED533709434180E92671EB481F41B8627F9122094341A0B437B8E1481F414C7B83AF07094341603BDFCF60471F4160E5D0D20B09434160F5B9DAE7471F41F4FDD45029094341C030992AAA481F41F8C2643230094341C0E314DDE6481F41E00B935938094341"
华联丰大厦,0.00000000000,0.00000000000,38.00000000000,龙华区大浪街道华宁路22-23号,龙华区,大浪街道,"0106000020C31100000100000001030000000100000006000000106A4D3386691E416CC5FE5A4627434100AAF1926E6B1E415CDC46334627434190F6061F6A6B1E41DCB5848412274341408B6C2786691E4114D044F81227434120C2862786691E41D019516A13274341106A4D3386691E416CC5FE5A46274341"
碧海花园一期,0.00000000000,52.00000000000,0.00000000000,盐田区环城路5号,盐田区,沙头角街道,"0106000020C3110000010000000103000000010000000F000000B04082A2F0F21F41E43FA47F8D07434120A0893011F31F4120D26F679007434120D26F1F72F31F41B40C712C8407434100E78C28EEF21F4114143F2678074341C0B12EAE9AF21F41C84B37D984074341800D4FEF0EF21F416419E2B0780743417024973F29F31F413CBD52B64C0743414070CE08DEF21F41E82631684507434160A1D6B473F21F41B0BFEC563D07434160C3D3EB65F11F41141DC9C54107434160D3BCA387F11F416029CBC854074341201FF42C46F11F41E461A1DE5D074341302AA95326F11F4174029A9864074341305EBA8924F11F41ACD85F3666074341B04082A2F0F21F41E43FA47F8D074341"
碧涛阁,0.00000000000,58.00000000000,0.00000000000,宝安区宝安大道与上川一路交汇处南侧,宝安区,新安街道,"0106000020C31100000100000001030000000100000005000000109C33A22FC61D41B88D06185C0C4341E0F0F44A3EC71D41587DAEA6390C434150A60A067AC61D41C0EC9ECC220C4341C0F528DC6CC51D410881956B450C4341109C33A22FC61D41B88D06185C0C4341"
滨海苑,0.00000000000,79.00000000000,0.00000000000,南山区蛇口新街滨海苑小区,南山区,蛇口街道,"0106000020C3110000010000000103000000010000001900000040D8F03476061E41BCE314F520FC42410066F7E488061E41FCF675A00CFC42410044FA6D93061E412CF697D502FC4241D019515A9A061E415C423E3000FC4241D0DEE00B9C061E41845AD30CFAFB4241E08AFDA574061E41B09465C8EAFB424160F5B91AF9051E411483C0C2EFFB4241406744A963041E41986E120304FC42410012143F60041E41F4DBD7C109FC4241E0FBA9715F041E41BCB88D2E0BFC4241F0EBC0B98E041E41DCB584FC0EFC4241B003E70C8D041E41C8073D0316FC4241007F6AFC88041E41647FD94D19FC4241A03C2C148D041E418838D69D1DFC424110BE301992041E418C976EAA1DFC4241605DDC46B0041E41CC5D4B381EFC4241505BB13FC9041E41549FABAD1EFC42412063EE1AF0041E4104E78C501FFC4241802F4CE6F0041E41F4B050C31EFC424130772D61F3041E41F897DD131DFC4241505BB17FF3041E41807346141DFC4241107A36ABF5041E41F44A59A61BFC4241200DE0EDBF051E41CCCCCC441FFC4241605DDC466D061E4190ED7CB720FC424140D8F03476061E41BCE314F520FC4241"
黄埔雅苑四期,0.00000000000,0.00000000000,114.00000000000,福田区福中路316号,福田区,莲花街道,"0106000020C3110000010000000103000000010000000B000000001214BF77D11E41E00B93D9F207434170F90F295ED11E41E4F21FF2F5074341509FABAD58D11E41480C021B1E084341E0A59B042ED11E4144AD692E2308434190ED7CFF2AD11E4118E2589743084341C05296A197D11E41049A08D351084341E0CEF79326D41E4190C2F538540843419018045661D41E41DC1B7C814D084341F053E3657CD41E4190A0F871F4074341B0B662FF57D41E414CF38E6BF4074341001214BF77D11E41E00B93D9F2074341"
香丽大厦,0.00000000000,0.00000000000,72.00000000000,福田区莲花西路2075号路,福田区,莲花街道,"0106000020C31100000100000001030000000100000008000000E0361A00BBBB1E41F4B050E35309434140CF66D522BC1E41506B9A1F6109434120287ECCAEBC1E41ECC0396B72094341507DAE36E2BC1E41F4DBD7E16B0943411093A902F5BC1E4104098A476709434160545227F6BC1E411CA7E83061094341E08AFDE51ABC1E41EC0DBEE846094341E0361A00BBBB1E41F4B050E353094341"
龙福一村,0.00000000000,32.00000000000,0.00000000000,龙岗区德政路95号,龙岗区,龙城街道,"0106000020C31100000100000001030000000100000015000000E0938705F6042041E00B93990B2F434110BE30D9F90420417C1D3887D32E43412875021AE9042041647FD955C92E434120D26F9F25042041E002098A992E4341F0D24D82E3032041645DDC5E892E434160C3D34B5F032041F0C9C30A692E4341100BB5465F032041F0C9C30A692E4341B003E78C4803204124287E14692E434130772D418B022041701283B0982E4341802F4C468B02204184C0CAB1982E434120B9FC871C032041D088D236BC2E4341A05E298BC40220414CC807B5D22E434128A089F0C3022041D088D2B6F22E434138D6C54D2002204108682204F22E434138D6C54D2002204140CF6605F22E4341806132D51F022041A0ABAD800A2F434168F7E4C12F022041ECE236920E2F4341B8AF03C72F022041C8293A920E2F434148D8F0F4BA022041ECE2362A0F2F4341A011A59DDD0420415474247F112F4341E0938705F6042041E00B93990B2F4341"
生产资料公司,0.00000000000,67.00000000000,0.00000000000,罗湖区晒布路46号,罗湖区,东门街道,"0106000020C311000001000000010300000001000000050000002004564E843E1F41201FF4F42A094341A0C64BB7ED3E1F41B025E4F333094341A0CDAA8F1B3F1F41FC5C6D052C09434160D3BC63B23E1F41ACADD8E7220943412004564E843E1F41201FF4F42A094341"
