城中村一房一厅租金,行政区,园区地址,城中村单间租金,街道,城中村三房及以上租金,地理坐标,城中村名称,城中村两房租金
924.00000000000,龙华区,龙华区观澜街道新澜社区大布巷新围,602,观澜街道,1795.00000000000,"0106000020C3110000010000000103000000010000001400000000AAF112C6CA1E4110363C1D8F2D43417024977F8BCE1E41D8C56D8C942D4341C0490C02A7CE1E41DC9387FD912D4341102DB2DD3CCE1E41E45817D7802D4341D000DE82B8CF1E41383CBDA2562D434140A4DFBE1ECE1E41E0E00BA31A2D434170006F41C6CD1E4158EC2F03012D434160EE5A8273CD1E4160E5D062D12C4341401CEBE25ACD1E413433338BCB2C4341509D80A61FCD1E4134C4B18EC32C434150302A29D5CC1E41E0020992BB2C4341907EFB7A78CC1E412497FFD8B42C4341507B832F39CC1E41E04F8DD7B12C434150DA1B7CF1CB1E41180456B6AF2C434120E25897ADCB1E419C779C7AC22C4341003D9B155CCC1E41C09F1AF7D12C4341102653C51ACC1E41D044D8F8DB2C4341B0B662BFA0CB1E4108F9A037DA2C4341C05296A1E3CA1E41AC3E576B302D434100AAF112C6CA1E4110363C1D8F2D4341",大布巷新围,1426.00000000000
693.00000000000,坪山区,坪山区坪山街道坪山社区坪山社区中兴,451,坪山街道,1345.00000000000,"0106000020C3110000010000000103000000010000001F00000038D6C50D8055204164AA6004D7264341182FDD4483552041C420B0F2C7264341885AD33C8E5520417446949EB4264341986E1223A3552041742497FFA5264341184850BC965520418048BF45A226434170787AA5755520412C871651A0264341C8EEC9C34355204190ED7C3F9D264341B8270F4B3D552041A0CDAADF9D264341F8065FD83C5520411483C0EA9D26434130A2B49733552041081B9ED699264341782D215F2D5520412063EEC295264341F8DBD7012E552041B0B662A7862643411895D4E910552041585BB1DF5226434128651902EE532041AC60549A7A26434118E25857EE532041FCA9F1BA7A264341188C4AAAEC542041F441CF06DC26434180C0CA0159552041FCD4787905274341E82631C86055204160325570072743411851DADB69552041AC8BDBA809274341C898BB361E562041D42B65C935274341F085C95495562041F063CCB515274341A03C2CB4C75620418C8EE4320B274341F041CF0601572041C017263BFA264341B8DA8A1DD75620414C6210F0F2264341886CE71BBC562041D812F2E9ED264341A8ADD8BFA256204178C729A2E9264341400AD74345562041CCCCCCACDC264341789318041B562041A44E402BDE264341C086A7D7B5552041645DDC3ED926434148696F10B3552041E0BE0E0CD926434138D6C50D8055204164AA6004D7264341",坪山社区中兴,1068.00000000000
634.00000000000,坪山区,坪山区坪山街道和平社区黄果沥,413,坪山街道,1232.00000000000,"0106000020C311000001000000010300000001000000090000001071ACCBF5592041B4847C50F8274341587DAE16835920416007CE6907284341D8D781F33958204180FB3A281128434198FF901E1B572041A0CDAAA7552843418838D6A57C572041C0CAA19D7B284341C87F481FEA572041F8E461C96C284341C810C7BA865820418CFD6597B128434148BF7DDDF6592041306EA379A22843411071ACCBF5592041B4847C50F8274341",黄果沥,978.00000000000
1571.00000000000,龙华区,龙华区民治街道民强社区塘水围新村三区,1023,民治街道,3051.00000000000,"0106000020C3110000010000000103000000010000000C000000E07A14AEE5B91E41006F81CC50184341A0BB96100FBA1E41549621CE43184341508D97AE8FB91E4168226C903D184341100BB5A6A4B91E410C93A98236184341103FC61C59B91E41B415FBAB2D1843415005A3524BB91E41E09C11152F18434180FB3AF085B81E4104780BDC1218434160FE433A4EB81E411C5A649318184341D088D29E17B81E41345EBA111E184341208E75F13CB91E41B437F85246184341704694B6A5B91E41304CA69A4D184341E07A14AEE5B91E41006F81CC50184341",塘水围新村三区,2423.00000000000
547.00000000000,坪山区,坪山区马峦街道沙坣社区沙坣新村,356,马峦街道,1063.00000000000,"0106000020C3110000010000000103000000010000003600000090B96BC97160204108F0166000284341281895F435602041BC7493C8C72743412063EE7A41602041B47BF2D8C7274341F085C9D42F602041480C0223B9274341905374C42F60204188416015B9274341A0F831062B60204114AE4721B527434198559FEBEE5F20413C79580883274341402CD41A186020410CD7A39853274341C064AAE05A602041545227685327434150D1917C5B602041D0915CDE52274341A0703D6AE160204168DE719252274341C8BAB8CD24612041D000DE7252274341002B87B63961204150401369522743410868228C38612041884160D546274341C8BAB8ED8661204120166A2546274341582041B1CE612041B4847CC04527434138F8C264D1612041C48F310F52274341D022DBD9E0612041083D9BF551274341285C8F62FE612041C8DCB5C451274341B025E40309622041E82631E84C274341B8D100BE1A62204160A1D6CC4427434128ED0D1E49622041580E2DAA4927434138014D6477622041C8293AD24827434128287E0CEB6220414C158C9A4B27434130C4B10E176320412C211F444D27434198FF901E7C632041B8DA8ABD4E274341A857CAD27E6320415C6DC55E3E2743413055308A80632041E458178F3E274341A0F8314681632041042B87FE38274341E046031887632041109C33920327434138234A9B8F6320414CC8070DF1264341483789E1876320419031775DEA264341B86B097988632041DCF97EA2DE26434160DC468397632041A0ABAD50B026434108462555545F2041F0C9C3EAA62643416891ED3C595F2041C0CAA165C426434198BB96B0455F2041C03099BAF626434128A91370375F2041C0EC9E6C1D274341A033A2B42C5F2041C01726EB2D274341D088D29E125F204184EB51B05327434188D2DEC0F75E2041EC2FBBC774274341F0FDD4D8EA5E2041C8DCB50483274341E0718A8EC55E2041F41FD2E79E274341280681958B5E2041A0D634FFBB274341907571DB4E5E204130992AF0D8274341F897DDB3305E2041CC10C7A2E6274341582041B1F95D2041004D844D07284341D0DEE0EBF25D204198218E250A2843411895D409F05D2041C420B07227284341A0B43758DA5D2041E81DA7802F28434128068135595E204144B6F3DD3C284341C810C71A895E2041B40C71243F284341607FD93D35602041B4EA736D0B28434190B96BC97160204108F0166000284341",沙坣新村,844.00000000000
767.00000000000,宝安区,宝安区松岗街道东方社区东方社区大井头村,500,松岗街道,1491.00000000000,"0106000020C3110000010000000103000000010000000E000000C0B12EAE64831D41CCA145B68236434100B37BB264831D41B47BF2F081364341303CBD9222841D411CC05B9083364341B0BFEC9E21841D41304CA67A823643411083C00A1F841D41D834EFB0803643412041F1A3F7831D418073466C6C36434160984C95F3831D410044FA556A36434100780BE4D6821D41ACADD8776A364341303CBD12D8821D41806ABC746D364341F09E3CACD2821D41FCD478B180364341409B555F04831D417C3F351E81364341E03FA41F02831D41441CEBDA88364341808CB92B62831D418026C28E89364341C0B12EAE64831D41CCA145B682364341",东方社区大井头村,1184.00000000000
1067.00000000000,宝安区,宝安区福永街道福永社区福新小区,695,福永街道,2073.00000000000,"0106000020C3110000010000000103000000010000000800000090218EF5EE481D4168DE71BA8B21434170567DEECD4A1D4198999931B4214341808CB92BD94B1D41141DC9FD8721434160B3EAB3994B1D41E4A59B5483214341F0C039635B4B1D41E4C798C389214341B025E4C3A6491D41DCF97EEA6B214341F0DBD7C1EC481D41744694068C21434190218EF5EE481D4168DE71BA8B214341",福新小区,1646.00000000000
1680.00000000000,龙岗区,龙岗区坂田街道五和社区坂田六区住宅小区,1094,坂田街道,3264.00000000000,"0106000020C31100000100000001030000000100000005000000A0DFBE0E0FDA1E41143FC69C56184341003D9B9575DD1E41545227705718434190D409E879DD1E41BC9690DFF3174341305C8F0233DA1E4160C3D323F2174341A0DFBE0E0FDA1E41143FC69C56184341",坂田六区住宅小区,2592.00000000000
1215.00000000000,龙岗区,龙岗区横岗街道六约社区六约社区深竹小区,791,横岗街道,2360.00000000000,"0106000020C3110000010000000103000000010000000B00000000197317E7941F4128A08988271B4341A00A466545941F41287E8C09581B434190C2F568AC941F413CBD52BE7B1B43414094F646FF941F410C4FAF84931B434100000000C4951F41C0A8A4F69B1B4341E0A59B8402961F417C832F54B41B4341307E8C79BA971F41684469AFBD1B434120EBE2F6E4971F41482575FAA51B4341D0817386D5981F416C2BF6CFA41B4341B0EA7335E9981F4130BB2757341B434100197317E7941F4128A08988271B4341",六约社区深竹小区,1874.00000000000
2337.00000000000,南山区,南山区南山街道向南社区向南社区向南东村,1522,南山街道,4540.00000000000,"0106000020C311000001000000010300000001000000400000006039B448EDFD1D41345530C23B034341C0DCB544D1FD1D416029CB683B03434190B0E129D1FD1D41E4361A783B034341F0C9C3424BFC1D41FCEDEB0036034341C06B09393BFC1D41D4DEE01334034341A0DFBE8E2BFC1D41F897DD7332034341D0C342ADE7FB1D41302AA9E330034341D0915C3EB5FB1D41B437F82A4D034341B0506BDA78FB1D41A0D634874C03434150FC18F337FB1D41C4B12E7E5503434150CA32C443FB1D4194438B7C6503434160D3BCA348FB1D41F4285C5F6E034341101DC9E541FB1D4150B81E2D73034341A0DFBE4E37FB1D415CDC467376034341F095B2CC28FB1D41C00E9CB378034341702D21DF54FB1D412C8716897D0343411083C00A58FB1D41D4BCE3B47D034341C0F528DC5BFB1D4174E09CE97D034341D081730668FB1D4140CF66957E034341D044D8B079FB1D41645DDC8E7F034341F075E05C93FB1D41F8E461F98003434130A2B4F7CAFB1D41E4D022838303434130ED0D7E1CFC1D41F0A7C63B8703434190438BECA1FC1D41FCA9F1528D034341B0BFEC9EAEFC1D4158EC2FDB8D03434140D8F0B4E3FC1D41845AD314900343417081048515FD1D41AC3E572B92034341907EFB3A17FD1D41CC5D4B3892034341102428FE1FFD1D41E8D9AC7A92034341D0C56DF426FD1D418CFD65AF92034341A0081BDE2EFD1D41F4B050EB92034341006F81446CFD1D4164AA60BC940343412073D75273FD1D411895D4F194034341805AD3FC79FD1D41148C4A129503434120287E8CDDFD1D4118E258F79603434140D8F0F4F5FD1D4114143F6E97034341708A8E2418FE1D41C4D32BED97034341705F074E30FE1D411CEBE24698034341B0ADD89F6AFE1D416844691F99034341808CB9EB6CFE1D41B49DEF2799034341B0408262EEFE1D41081B9E6E99034341E061A1D643FF1D413C4ED1B198034341F0482EBF77FF1D41EC51B846980343418026C2068CFF1D41F875E01C980343412095D489CBFF1D412C90A068960343416088631D05001E413C9B550F95034341E00B93E970001E4110C7BA58920343412063EEDAB7001E415CDC461B9003434160A8354DFD001E417493180C8E034341808CB9EB39011E412CA913F88B034341B040826282011E418451495D89034341603255B0B1011E41840D4FCF870343418051495DC2011E4118B7D1588703434180A52C43A2011E4170A3010C76034341807CD0B329011E4144696F0830034341903177AD14011E41F8E461392303434110D9CEB7E8FF1D417C14AE0F26034341B0726851CFFF1D4174E09CA11A03434140B4C8F600FF1D416C9A773C1B0343410066F724A5FE1D41B0B6624702034341E0AE25E44DFE1D418C1F63FE03034341304CA60A3DFE1D41A0ABAD6004034341B09DEFE7F4FD1D41201FF4E43B0343416039B448EDFD1D41345530C23B034341",向南社区向南东村,3605.00000000000
